7TSL_INV_acceff	5.29915e-15	5.47120e-15	5.65334e-15	5.84411e-15	6.03998e-15	6.23833e-15	6.44232e-15	6.64359e-15	6.84601e-15	7.04899e-15	7.25066e-15	7.45111e-15	7.64784e-15	7.84539e-15
7TSL_INV_acreff	1.54411e+03	1.34535e+03	1.19570e+03	1.07961e+03	9.88112e+02	9.13591e+02	8.51255e+02	8.00179e+02	7.55718e+02	7.17846e+02	6.84830e+02	6.56947e+02	6.31481e+02	6.08183e+02
7TSL_NAND2B	1.31472e+01	1.16191e+01	1.05153e+01	9.68143	9.04833	8.54508	8.14295	7.82747	7.55692	7.34690	7.15836	7.01293	6.88513	6.77728
7TSL_NAND2B_iddq	6.27692e-08	6.69464e-08	7.13485e-08	7.59948e-08	8.09075e-08	8.61089e-08	9.16323e-08	9.74998e-08	1.03761e-07	1.10478e-07	1.17728e-07	1.25633e-07	1.34359e-07	1.44174e-07
7TSL_NAND2B_iddarail	1.76402e-04	2.25021e-04	2.78014e-04	3.35005e-04	3.95474e-04	4.59247e-04	5.25614e-04	5.94595e-04	6.65882e-04	7.38512e-04	8.13698e-04	8.90559e-04	9.68306e-04	1.04751e-03
7TSL_NAND2B_acceff	4.64200e-15	4.75679e-15	4.87505e-15	4.99221e-15	5.11426e-15	5.23455e-15	5.35210e-15	5.47746e-15	5.59304e-15	5.71321e-15	5.82658e-15	5.94986e-15	6.06267e-15	6.17516e-15
7TSL_NAND2B_acreff	2.83224e+03	2.44262e+03	2.15696e+03	1.93931e+03	1.76924e+03	1.63244e+03	1.52145e+03	1.42903e+03	1.35113e+03	1.28595e+03	1.22857e+03	1.17867e+03	1.13566e+03	1.09751e+03
7TSL_NOR2B	1.44275e+01	1.27103e+01	1.14721e+01	1.05490e+01	9.84048	9.28563	8.84162	8.48098	8.18628	7.94347	7.73827	7.57132	7.42593	7.30372
7TSL_NOR2B_iddq	9.85073e-08	1.04761e-07	1.11339e-07	1.18261e-07	1.25561e-07	1.33277e-07	1.41431e-07	1.50080e-07	1.59273e-07	1.69098e-07	1.79640e-07	1.91047e-07	2.03515e-07	2.17382e-07
7TSL_NOR2B_iddarail	1.61648e-04	2.07128e-04	2.56956e-04	3.10824e-04	3.68305e-04	4.28818e-04	4.92620e-04	5.58990e-04	6.27860e-04	6.98833e-04	7.71774e-04	8.46208e-04	9.22750e-04	1.00120e-03
7TSL_NOR2B_acceff	4.67064e-15	4.79200e-15	4.91774e-15	5.04869e-15	5.18146e-15	5.31277e-15	5.44791e-15	5.58070e-15	5.71414e-15	5.84645e-15	5.97527e-15	6.10487e-15	6.23238e-15	6.36175e-15
7TSL_NOR2B_acreff	3.08897e+03	2.65240e+03	2.33280e+03	2.08946e+03	1.89917e+03	1.74779e+03	1.62294e+03	1.51970e+03	1.43264e+03	1.35868e+03	1.29505e+03	1.24021e+03	1.19151e+03	1.14807e+03
7TSL_NAND3B	1.71557e+01	1.50343e+01	1.34975e+01	1.23442e+01	1.14633e+01	1.07742e+01	1.02201e+01	9.77441	9.40816	9.10079	8.84692	8.62489	8.45220	8.29788
7TSL_NAND3B_iddq	6.97997e-08	7.45348e-08	7.95308e-08	8.48099e-08	9.04055e-08	9.63285e-08	1.02623e-07	1.09329e-07	1.16496e-07	1.24195e-07	1.32527e-07	1.41631e-07	1.51723e-07	1.63103e-07
7TSL_NAND3B_iddarail	1.54667e-04	1.99113e-04	2.48079e-04	3.01299e-04	3.58023e-04	4.18167e-04	4.81453e-04	5.47113e-04	6.15310e-04	6.86040e-04	7.58370e-04	8.32666e-04	9.08611e-04	9.85921e-04
7TSL_NAND3B_acceff	5.31206e-15	5.44723e-15	5.58465e-15	5.72551e-15	5.86624e-15	6.01024e-15	6.15349e-15	6.29415e-15	6.43479e-15	6.57470e-15	6.71179e-15	6.84221e-15	6.98414e-15	7.11652e-15
7TSL_NAND3B_acreff	3.22958e+03	2.76000e+03	2.41689e+03	2.15600e+03	1.95411e+03	1.79264e+03	1.66086e+03	1.55293e+03	1.46208e+03	1.38421e+03	1.31812e+03	1.26054e+03	1.21020e+03	1.16600e+03
7TSL_AOI21	1.83896e+01	1.61517e+01	1.45271e+01	1.33144e+01	1.23856e+01	1.16521e+01	1.10634e+01	1.05870e+01	1.01928e+01	9.88312	9.59657	9.36921	9.17737	9.00629
